Date,Open,High,Low,Close,Volume
03/14/2025,"37.37","38.05","37.16","37.64","98,785"
03/13/2025,"37.61","37.77","37.05","37.15","76,030"
03/12/2025,"37.97","38.08","37.18","37.48","98,503"
03/11/2025,"38.92","39.09","37.72","38.02","130,889"
03/10/2025,"38.34","39.41","38.34","39.00","192,123"
03/07/2025,"38.35","38.99","37.83","38.59","107,193"
03/06/2025,"38.25","38.67","37.92","38.52","109,501"
03/05/2025,"38.78","39.25","38.08","38.48","97,532"
03/04/2025,"39.21","39.30","38.14","38.78","193,763"
03/03/2025,"40.10","40.63","39.62","39.73","239,006"
02/28/2025,"39.92","40.29","39.37","40.11","134,926"
02/27/2025,"40.50","40.88","37.67","39.68","312,939"
02/26/2025,"40.67","41.22","40.67","41.17","73,340"
02/25/2025,"40.97","41.22","40.83","40.91","81,407"
02/24/2025,"41.09","41.25","40.70","40.70","86,366"
02/21/2025,"41.42","41.42","40.66","40.75","99,783"
02/20/2025,"41.24","41.25","40.51","41.00","79,884"
02/19/2025,"40.91","41.63","40.89","41.54","102,489"
02/18/2025,"41.22","41.35","40.83","40.95","74,276"
02/14/2025,"42.44","42.51","40.83","41.20","164,078"
02/13/2025,"41.21","42.75","41.20","42.20","154,319"
02/12/2025,"40.78","41.11","40.42","40.80","119,083"
